// Compost colors for anvilcraft. You may add your own colors, change existing ones, or remove colors that aren't needed.
amber, #d27944
amethyst_axe, #ab83b1
amethyst_hoe, #a77fac
amethyst_pickaxe, #aa82c0
amethyst_shovel, #a780a2
amethyst_sword, #bf90f7
amulet_box, #c3ac57
anvil_amulet, #98a4a4
beef_mushroom_stew, #794d26
brass_ingot, #de9b61
brass_nugget, #e7a769
bronze_ingot, #ae9a7f
bronze_nugget, #b29e84
canned_food, #d9d9cc
cat_amulet, #b6b6ae
charged_neutronium_ingot, #5491c0
chocolate, #6f5036
chocolate_black, #3d2816
chocolate_white, #ffffff
circuit_board, #daa27c
cocoa_butter, #ffffff
cocoa_liquor, #5c4736
cocoa_powder, #463020
cogwheel_amulet, #b5a087
comrade_amulet, #a5b1b1
copper_nugget, #ff845c
cream, #ffffff
creamy_bread_roll, #fff4a5
cursed_gold_ingot, #fe964e
cursed_gold_nugget, #ee8465
disk, #a5a08d
dog_amulet, #c0c5c3
dough, #ffffff
earth_core_shard, #893e19
eight_to_one_smithing_template, #62555b
ember_metal_axe, #5f2f20
ember_metal_hoe, #54291f
ember_metal_ingot, #763d1f
ember_metal_nugget, #93501c
ember_metal_pickaxe, #582a1f
ember_metal_shovel, #5c2c20
ember_metal_sword, #6b331f
ember_metal_upgrade_smithing_template, #64372d
emerald_amulet, #aae8c2
feather_amulet, #d7d9d2
flour, #ffffff
four_to_one_smithing_template, #685f66
frost_metal_axe, #707689
frost_metal_hoe, #66697a
frost_metal_ingot, #757a91
frost_metal_nugget, #6e7286
frost_metal_pickaxe, #6b6f82
frost_metal_shovel, #6e7284
frost_metal_sword, #798296
frost_metal_upgrade_smithing_template, #8c94aa
geode, #aa97cf
hardend_resin, #d7b891
heavy_halberd_core, #5f337c
heavy_iron_door, #5c5250
ionocraft, #a08376
ionocraft_backpack, #aa897a
lead_ingot, #4b5452
lead_nugget, #57615e
levitation_powder, #ffffdd
lime_powder, #e0deda
magnet, #615c5b
magnet_ingot, #696268
multiphase_matter, #906257
multiphase_matter_axe, #4d3232
multiphase_matter_hoe, #3d2529
multiphase_matter_pickaxe, #392326
multiphase_matter_shovel, #4a3032
multiphase_matter_sword, #472c2d
negative_matter, #ffffff
negative_matter_nugget, #ffffff
netherite_crystal_nucleus, #8e7270
neutronium_ingot, #3c6198
plutonium_ingot, #a4b1a1
plutonium_nugget, #9aa79a
prismarine_blade, #7de8e6
prismarine_cluster, #5fd4d4
raw_lead, #78837f
raw_silver, #a4aeae
raw_tin, #ccccbf
raw_titanium, #b5bfe0
raw_tungsten, #8e8084
raw_uranium, #697d5e
raw_zinc, #acc9bb
recovery_pearl, #20828a
resin, #ffe37f
resonator_core, #4e96c6
royal_steel_axe, #787f80
royal_steel_hoe, #6f7279
royal_steel_ingot, #848e8a
royal_steel_nugget, #878e8c
royal_steel_pickaxe, #6c6e78
royal_steel_shovel, #797f7f
royal_steel_sword, #7c8280
royal_steel_upgrade_smithing_template, #90949d
ruby, #e3555c
ruby_amulet, #d3aaa7
sapphire, #465ac9
sapphire_amulet, #9dace3
sea_heart_shell, #25a4cf
sea_heart_shell_shard, #25a5d4
seeds_pack, #c9b897
silence_amulet, #6b9da2
silver_ingot, #b9c3c3
silver_nugget, #d6dedd
sponge_gemmule, #fbf15e
stable_neutronium_ingot, #9aabaa
tin_can, #979b89
tin_ingot, #c5c5b6
tin_nugget, #d4d3c5
titanium_ingot, #abb9da
titanium_nugget, #bccae7
topaz, #ffb94d
topaz_amulet, #dccda0
transcendium_ingot, #8955b8
transcendium_nugget, #ae64e1
transcendium_upgrade_smithing_template, #834b9b
tungsten_ingot, #685c5e
tungsten_nugget, #7f7375
two_to_one_smithing_template, #765f54
uranium_ingot, #87987a
uranium_nugget, #809376
utusan, #f7b9cc
void_matter, #111214
wood_fiber, #b2986f
zinc_ingot, #8cac9e
zinc_nugget, #a4c5b2
