// Compost colors for createdeco. You may add your own colors, change existing ones, or remove colors that aren't needed.
andesite_bars, #b9c3bb
andesite_bars_overlay, #b9c3bb
andesite_door, #e1f0e6
andesite_mesh_fence, #f7fffa
andesite_sheet, #9aa89d
brass_bars, #fffb8e
brass_bars_overlay, #fffb8e
brass_coin, #ffdc91
brass_coinstack, #de9a61
brass_door, #ffff90
brass_mesh_fence, #ffff8e
copper_bars, #ff946f
copper_bars_overlay, #ff946f
copper_coin, #ff946f
copper_coinstack, #e0754e
copper_mesh_fence, #ffa076
gold_coin, #ffdc5b
gold_coinstack, #f09a34
industrial_iron_bars, #6b686b
industrial_iron_bars_overlay, #6b686b
industrial_iron_coin, #616161
industrial_iron_coinstack, #6b5850
industrial_iron_door, #898383
industrial_iron_ingot, #6f6969
industrial_iron_ladder, #8c8989
industrial_iron_mesh_fence, #c9ccc6
industrial_iron_nugget, #5f5e5f
industrial_iron_sheet, #6b6666
iron_coin, #eaeaea
iron_coinstack, #c6b6ae
iron_ladder, #f4f4f4
iron_mesh_fence, #ffffff
locked_andesite_door, #e0eee4
locked_brass_door, #ffff90
locked_copper_door, #ff9a6f
locked_industrial_iron_door, #8a8383
locked_zinc_door, #ffffff
netherite_coin, #5e585a
netherite_coinstack, #644e47
netherite_nugget, #5a5154
zinc_bars, #d7edcd
zinc_bars_overlay, #d7edcd
zinc_coin, #d7ffe1
zinc_coinstack, #aeb9a0
zinc_door, #ffffff
zinc_ladder, #d0e6c6
zinc_mesh_fence, #f7fff4
zinc_sheet, #d2d0a4
