// Compost colors for endersdelight. You may add your own colors, change existing ones, or remove colors that aren't needed.
chorus_juice, #afaade
chorus_pie, #ebaf8a
chorus_pie_slice, #dca496
chorus_stew, #9b68a1
crawling_sandwich, #b48646
crispy_skewer, #755272
ender_paella, #cda4bc
ender_shard, #187365
enderman_sight, #da9eff
endermite_stew, #755f8a
mite_crust, #37264a
pearl_pasta, #879b94
shulker_bowl, #9866a1
shulker_filet, #fadea2
shulker_mollusk, #ffe8a8
sight_fragments, #cd97ff
strange_eclair, #abbb75
stuffed_shulker, #b47f8d
stuffed_shulker_bowl, #9e754a
twisted_cereal, #9b80ac
uncanny_cookies, #fba264
