// Compost colors for industrialforegoing. You may add your own colors, change existing ones, or remove colors that aren't needed.
black_laser_lens, #979797
blue_laser_lens, #7fa4da
brown_laser_lens, #bba191
conveyor, #bbbbbb
conveyor_blinking_upgrade, #ffffff
conveyor_bouncing_upgrade, #bccfc6
conveyor_detection_upgrade, #e6cdcd
conveyor_dropping_upgrade, #faffff
conveyor_extraction_upgrade, #cdbcb5
conveyor_insertion_upgrade, #faffff
conveyor_splitting_upgrade, #f0f0f0
cyan_laser_lens, #7fdabf
diamond_gear, #a7fffe
dryrubber, #ffffff
efficiency_addon_tier_1, #ebf5ee
efficiency_addon_tier_2, #ccffff
fertilizer, #d2beab
gold_gear, #ffeea5
gray_laser_lens, #aeacac
green_laser_lens, #7fda82
iron_gear, #cacaca
light_blue_laser_lens, #7fcdda
light_gray_laser_lens, #cccaca
lime_laser_lens, #a7da7f
machine_settings_copier, #aaf1f0
magenta_laser_lens, #d37fcd
meat_feeder, #a2948a
mob_imprisonment_tool, #ffffff
orange_laser_lens, #dca17f
pink_laser_lens, #dc7fa1
pink_slime, #ff8aff
pink_slime_ingot, #ffddff
plastic, #cacaca
processing_addon_tier_1, #eaf4eb
processing_addon_tier_2, #c9feff
purple_laser_lens, #a780da
range_addon_tier_0, #faebdd
range_addon_tier_1, #f0edf7
range_addon_tier_10, #ffe7e3
range_addon_tier_11, #e7fed6
range_addon_tier_2, #fffff0
range_addon_tier_3, #fff7ea
range_addon_tier_4, #ffeec8
range_addon_tier_5, #fffed3
range_addon_tier_6, #fffff7
range_addon_tier_7, #ffffe0
range_addon_tier_8, #fffff1
range_addon_tier_9, #f1fffa
red_laser_lens, #dc837f
speed_addon_tier_1, #eaf4ed
speed_addon_tier_2, #c9feff
straw, #ffc2c2
white_laser_lens, #f4f4f4
yellow_laser_lens, #dccd7f
