// Compost colors for ae2. You may add your own colors, change existing ones, or remove colors that aren't needed.
advanced_card, #cadde4
annihilation_core, #f4f0ff
basic_card, #e0ddd4
black_lumen_paint_ball, #ffffff
black_paint_ball, #ffffff
blank_pattern, #e1e7fe
blue_lumen_paint_ball, #ffffff
blue_paint_ball, #ffffff
brown_lumen_paint_ball, #ffffff
brown_paint_ball, #ffffff
calculation_processor, #d7dded
calculation_processor_press, #ffffff
capacity_card, #ddd9d0
cell_component_16k, #c5cce7
cell_component_1k, #ffffff
cell_component_256k, #cdd6f0
cell_component_4k, #ffffff
cell_component_64k, #cad3f0
certus_quartz_axe, #b2d0e8
certus_quartz_crystal, #f1ffff
certus_quartz_cutting_knife, #ebfeff
certus_quartz_dust, #ffffff
certus_quartz_hoe, #abc8e0
certus_quartz_pickaxe, #98b9d7
certus_quartz_shovel, #b4d6f4
certus_quartz_sword, #9ec9ed
certus_quartz_wrench, #cff4ff
charged_certus_quartz_crystal, #bee6ff
charged_staff, #b8c3cf
crafting_card, #dedad2
crafting_pattern, #e6eeff
creative_storage_cell, #ccb9dc
cyan_lumen_paint_ball, #ffffff
cyan_paint_ball, #ffffff
debug_card, #ffffff
debug_eraser, #d7d7ff
debug_meteorite_placer, #b5b5ff
debug_replicator_card, #eeebff
ender_dust, #caf1f2
energy_card, #c9d9e0
engineering_processor, #a4cdd2
engineering_processor_press, #f0f0ff
entropy_manipulator, #b5bbcd
equal_distribution_card, #c9d9e0
fluid_cell_housing, #e4aba5
fluid_storage_cell_16k, #dccac3
fluid_storage_cell_1k, #ddbfcf
fluid_storage_cell_256k, #e6cfb1
fluid_storage_cell_4k, #ebc9d2
fluid_storage_cell_64k, #d6c6b5
fluix_axe, #918097
fluix_crystal, #8075a1
fluix_dust, #ded7fa
fluix_hoe, #b1a1a8
fluix_pearl, #8780aa
fluix_pickaxe, #a798a7
fluix_shovel, #bba1ab
fluix_sword, #86708e
fluix_upgrade_smithing_template, #ffffff
formation_core, #f5ffff
fuzzy_card, #c9dae0
gray_lumen_paint_ball, #ffffff
gray_paint_ball, #ffffff
green_lumen_paint_ball, #ffffff
green_paint_ball, #ffffff
guide, #f1f1ff
inverter_card, #c8d7de
item_cell_housing, #cccce4
item_storage_cell_16k, #c6e4f4
item_storage_cell_1k, #c8d7ff
item_storage_cell_256k, #d0e7e1
item_storage_cell_4k, #d6e1ff
item_storage_cell_64k, #c0dee6
large_quartz_bud, #ffffff
light_blue_lumen_paint_ball, #ffffff
light_blue_paint_ball, #ffffff
light_gray_lumen_paint_ball, #ffffff
light_gray_paint_ball, #ffffff
lime_lumen_paint_ball, #ffffff
lime_paint_ball, #ffffff
logic_processor, #ffe7d4
logic_processor_press, #feffff
magenta_lumen_paint_ball, #ffffff
magenta_paint_ball, #ffffff
matter_ball, #ffffff
medium_quartz_bud, #ffffff
name_press, #ffffff
nether_quartz_axe, #c2b4ae
nether_quartz_cutting_knife, #e8f4fe
nether_quartz_hoe, #bbaca7
nether_quartz_pickaxe, #aa9a93
nether_quartz_shovel, #c2b2ac
nether_quartz_sword, #aa9791
nether_quartz_wrench, #c9b9b6
orange_lumen_paint_ball, #ffffff
orange_paint_ball, #ffffff
pink_lumen_paint_ball, #ffffff
pink_paint_ball, #ffffff
portable_fluid_cell_16k, #d09a9e
portable_fluid_cell_1k, #d09a9e
portable_fluid_cell_256k, #d09a9e
portable_fluid_cell_4k, #d09a9e
portable_fluid_cell_64k, #d09a9e
portable_item_cell_16k, #bbbcd6
portable_item_cell_1k, #bbbcd6
portable_item_cell_256k, #bbbcd6
portable_item_cell_4k, #bbbcd6
portable_item_cell_64k, #bbbcd6
printed_calculation_processor, #f5ffff
printed_engineering_processor, #a2ffff
printed_logic_processor, #ffffd6
printed_silicon, #b8bbc2
processing_pattern, #e8eaff
purple_lumen_paint_ball, #ffffff
purple_paint_ball, #ffffff
quantum_entangled_singularity, #c0bfd6
quartz_cluster, #ffffff
red_lumen_paint_ball, #ffffff
red_paint_ball, #ffffff
redstone_card, #ddd9d0
silicon, #fafcff
silicon_press, #ffffff
singularity, #d9abe1
sky_dust, #dadddc
small_quartz_bud, #ffffff
smithing_table_pattern, #eaeafb
spatial_cell_component_128, #c8c2e4
spatial_cell_component_16, #ffffff
spatial_cell_component_2, #ffffff
spatial_storage_cell_128, #e4ddfe
spatial_storage_cell_16, #e7dee8
spatial_storage_cell_2, #d0dcfc
speed_card, #c8d7de
stonecutting_pattern, #deeefe
view_cell, #bfdccf
void_card, #dedad2
white_lumen_paint_ball, #ffffff
white_paint_ball, #ffffff
wireless_booster, #ffffff
wireless_crafting_terminal, #ffffff
wireless_receiver, #ffffff
wireless_terminal, #ffffff
yellow_lumen_paint_ball, #ffffff
yellow_paint_ball, #ffffff
