// Compost colors for createsifter. You may add your own colors, change existing ones, or remove colors that aren't needed.
andesite_pebble, #bcbcbb
basalt_pebble, #5b5e66
blackstone_pebble, #3c323a
calcite_pebble, #ffffff
deepslate_pebble, #707076
diorite_pebble, #fafafa
granite_pebble, #cc8d75
raw_aluminum_piece, #93a0aa
raw_copper_piece, #e09066
raw_gold_piece, #ffdc6b
raw_iron_piece, #e8c5a5
raw_lead_piece, #616576
raw_nickel_piece, #e8e7b9
raw_osmium_piece, #b8e1f7
raw_platinum_piece, #abd0d7
raw_quicksilver_piece, #879da0
raw_silver_piece, #cad4dc
raw_tin_piece, #b8b9b4
raw_uranium_piece, #849478
raw_zinc_piece, #9dc3b2
stone_pebble, #aaaaaa
tuff_pebble, #cccdbf
