// Compost colors for croparia. You may add your own colors, change existing ones, or remove colors that aren't needed.
air_bucket, #aeaeae
croparia, #ffffff
croparia2, #ffffff
croparia3, #ebffff
croparia4, #d2ffff
croparia5, #fff1f0
croparia6, #ffd0f8
croparia7, #fed7ff
earth_bucket, #aeaeae
elematilius, #ffffff
elematilius_bucket, #aeaeae
elemental_air, #f5f8fe
elemental_earth, #ffffff
elemental_fire, #fffeff
elemental_water, #a8d6ff
fire_bucket, #aeaeae
horn_plenty, #a0806c
infinite_apple, #ffe3a0
magic_rope, #e8cdca
midas_hand, #f4ab30
placeholder, #be4db1
potion_air, #ffffff
potion_earth, #ffffff
potion_elematilius, #ffffff
potion_fire, #ffffff
potion_water, #ffffff
recipe_wizard, #ffffff
water_bucket, #aeaeae
