// Compost colors for eternal_starlight. You may add your own colors, change existing ones, or remove colors that aren't needed.
abyssal_fruit, #f7ebab
aethersent_arrow, #b586cd
aethersent_boots, #8657a1
aethersent_bottoms, #7a4d84
aethersent_cape, #895a9a
aethersent_golem_spawn_egg, #af78cd
aethersent_hood, #70467f
aethersent_ingot, #b984d0
aethersent_nugget, #b282c2
aetherstrike_rocket, #ffcdff
air_sac_arrow, #a0868c
air_sac_boots, #5e5c50
air_sac_mask, #838262
alchemist_mask, #d38447
alchemist_robe, #7f5c46
amaramber_arrow, #664155
amaramber_axe, #332836
amaramber_candle, #5c4054
amaramber_chestplate, #403343
amaramber_grass, #be9787
amaramber_grass_bush, #eaab97
amaramber_helmet, #3a2d3c
amaramber_hoe, #392c39
amaramber_ingot, #4d3c4e
amaramber_lantern, #9a847c
amaramber_nugget, #322836
amaramber_shovel, #2f2532
amethysia_grass, #c99ac9
ashen_snowball, #c2c0cc
astral_golem_spawn_egg, #aca091
atalphaite, #de866b
aureate_flower, #e7cf75
aurora_deer_antler, #19a19d
aurora_deer_spawn_egg, #3a6c8a
aurora_deer_steak, #ff9a8a
blaze_crystal, #bc6870
blooming_armor_trim_smithing_template, #9d8dbc
blooming_blue_starlight_crystal_cluster, #abdaff
blooming_red_starlight_crystal_cluster, #e6aaf4
blossom_of_stars, #2f7cdd
blue_crystal_roots, #5482d3
blue_crystalfleur, #afbff2
blue_crystalfleur_vine, #aabfff
blue_starlight_crystal_cluster, #84c0f8
blue_starlight_crystal_shard, #83b4e6
boarwarf_spawn_egg, #9a6154
bonemore, #ffffff
book, #969baf
bouldershroom, #fff2ff
bouldershroom_roots, #fffff8
bouldershroom_stew, #6c6269
bow_of_blood, #ffffff
broken_doomeden_bone, #ffffff
cave_moss, #646464
chain_of_souls, #464e76
cinder_brick, #a08380
circulush, #906b76
conebloom, #403a50
cooked_aurora_deer_steak, #ea8470
cooked_luminaris, #736689
cooked_luminofish, #575152
cooked_ratlin_meat, #9b4451
cooked_shadow_snail_meat, #3c2539
cooked_tower_squid, #843726
crescent_grass, #363762
creteor_hide, #d779ee
creteor_spawn_egg, #be69d2
crystal_crossbow, #988dc5
crystallized_lunar_grass, #c861be
crystallized_moth_spawn_egg, #5b374a
crystallum_coral, #7d979b
crystallum_coral_fan, #7c9197
