// Compost colors for fruitsdelight. You may add your own colors, change existing ones, or remove colors that aren't needed.
apple_jam, #ffffff
apple_jello, #fffff0
apple_sapling, #6f8225
baked_durian, #ffbb05
baked_pear, #fbab62
bayberry, #78394a
bayberry_cookie, #ea8797
bayberry_jam, #ffffff
bayberry_jello, #d4a8ac
bayberry_sapling, #5b7d3e
bayberry_soup, #ab87a5
bellini_cocktail, #f0e8e4
blueberry, #3d6f73
blueberry_custard, #d4e8e6
blueberry_jam, #ffffff
blueberry_jello, #f0def7
blueberry_muffin, #f8d39a
bowl_of_pineapple_fried_rice, #bca152
chorus_jam, #ffffff
chorus_jello, #ffffff
cranberry, #b85a20
cranberry_cookie, #ffc0a5
cranberry_jam, #ffffff
cranberry_jello, #ffe4d9
cranberry_muffin, #ffc378
dried_persimmon, #e7500c
durian_flesh, #ffda05
durian_jam, #ffffff
durian_jello, #ffffc9
durian_pie, #ffc95b
durian_sapling, #cf6c36
durian_shell, #b8871e
fig, #cfa782
fig_chicken_stew, #a7864a
fig_jam, #ffffff
fig_jello, #ffe8be
fig_pudding, #724134
fig_pudding_slice, #7a473a
fig_sapling, #8daa48
fig_tart, #ffd46f
glowberry_jam, #ffffff
glowberry_jello, #ffffd3
hamimelon_jam, #ffffff
hamimelon_jello, #fffff2
hamimelon_juice, #fff7ae
hamimelon_popsicle, #ffe055
hamimelon_seeds, #ffe4c9
hamimelon_shaved_ice, #ffffed
hamimelon_slice, #ffe468
hawberry, #f13746
hawberry_jam, #ffffff
hawberry_jello, #ffe1d7
hawberry_roll, #aa190f
hawberry_sapling, #447048
hawberry_sheet, #c21f18
hawberry_stick, #aa3428
hawberry_tea, #d298b1
jam_bread, #c59029
kiwi, #acc636
kiwi_jam, #ffffff
kiwi_jello, #9ec628
kiwi_juice, #befba8
kiwi_popsicle, #a1e828
kiwi_sapling, #629636
lemon, #ffe016
lemon_cookie, #ffd05a
lemon_jam, #ffffff
lemon_jello, #ffffe1
lemon_juice, #fffff2
lemon_seeds, #ffed80
lemon_slice, #ffff72
lemon_tart, #ffe376
lychee, #ed7682
lychee_cherry_tea, #ffedff
lychee_chicken, #be9e64
lychee_jam, #ffffff
lychee_jello, #ffffff
lychee_sapling, #559011
mango, #fb9d19
mango_jam, #ffffff
mango_jello, #fffecd
mango_milkshake, #ffffed
mango_salad, #e7a42f
mango_sapling, #7c9114
mango_tea, #ffe3a0
mangosteen, #76433a
mangosteen_cake, #f1c097
mangosteen_jam, #ffffff
mangosteen_jello, #ffffff
mangosteen_sapling, #416525
mangosteen_tea, #ffffff
melon_jam, #ffffff
melon_jello, #fff2e4
orange, #ffa540
orange_chicken, #d6752f
orange_jam, #ffffff
orange_jello, #ffffe0
orange_juice, #ffe8b9
orange_marinated_pork, #cc9b4e
orange_sapling, #a5b234
orange_slice, #ffc057
peach, #ea915a
peach_jam, #ffffff
peach_jello, #ffffed
peach_sapling, #698c15
peach_tea, #ffdcde
pear, #ebff5f
pear_jam, #ffffff
pear_jello, #ffffff
pear_juice, #f8ffed
pear_sapling, #a1c37a
pear_with_rock_sugar, #a79039
persimmon, #ffffed
persimmon_cookie, #ff9857
persimmon_jam, #ffffff
persimmon_jello, #fffbde
persimmon_sapling, #93a441
pineapple, #e7c255
pineapple_fried_rice, #ffc058
pineapple_jam, #ffffff
pineapple_jello, #ffffcf
pineapple_marinated_pork, #aa7a28
pineapple_pie, #ffd46e
pineapple_sapling, #9edd7d
pineapple_slice, #ffde4d
sweetberry_jam, #ffffff
sweetberry_jello, #ffe6e7
wild_pineapple, #b8c983
