// Compost colors for immersiveengineering. You may add your own colors, change existing ones, or remove colors that aren't needed.
aluminum_hanging_sign, #d6e7e4
aluminum_sign, #e7fcfa
armor_faraday_boots, #5b5554
armor_faraday_chestplate, #6b645f
armor_faraday_helmet, #807a79
armor_faraday_leggings, #514741
armor_steel_boots, #4e4e4e
armor_steel_chestplate, #726f6e
armor_steel_helmet, #5f5a58
armor_steel_leggings, #bbbbbb
axe_steel, #866e62
bannerpattern_bevels, #ffffe6
bannerpattern_hammer, #ffffeb
bannerpattern_ornate, #ffffe6
bannerpattern_screwdriver, #ffffea
bannerpattern_treated_wood, #ffffe4
bannerpattern_warning, #ffffe7
bannerpattern_windmill, #ffffe6
bannerpattern_wirecutter, #ffffe7
bannerpattern_wolf, #ffffde
blueprint, #4084f1
bullet_armor_piercing, #ffffff
bullet_buckshot, #fffffe
bullet_casull, #ffffff
bullet_dragons_breath, #fff0b1
bullet_firework, #fb9769
bullet_flare, #ff7329
bullet_he, #fffee7
bullet_homing, #ffffd7
bullet_potion, #ffffff
bullet_silver, #ffffff
bullet_wolfpack, #d4b87a
circuit_board, #506239
coal_coke, #41403c
component_electronic, #c68d78
component_electronic_adv, #f0caa7
component_iron, #ffffff
component_steel, #ffffff
drillhead_iron, #ffffff
drillhead_steel, #fefefe
dust_aluminum, #97a1a2
dust_coke, #414141
dust_constantan, #9b5b4a
dust_copper, #b56247
dust_electrum, #a08a51
dust_gold, #be9d34
dust_hop_graphite, #232323
dust_iron, #665c57
dust_lead, #44444a
dust_nickel, #82867d
dust_saltpeter, #c8c8c6
dust_silver, #9eaaac
dust_steel, #696461
dust_sulfur, #fffffc
dust_uranium, #516247
dust_wood, #e0c597
earmuffs, #ffffff
electron_tube, #ebe1e1
empty_casing, #ffffff
empty_shell, #fffffa
ersatz_leather, #cc7641
fake_icon_achtung, #232323
fake_icon_birthday, #191919
fake_icon_bttf, #151515
fake_icon_drillbreak, #141414
fake_icon_fried, #650b0b
fake_icon_lucky, #161616
fake_icon_ravenholm, #434343
fake_icon_snake, #141414
fertilizer, #f5d4c5
glider, #ffffed
graphite_electrode, #ffffff
grindingdisk, #414141
gunpart_barrel, #ffffff
gunpart_drum, #f4f4f4
gunpart_hammer, #ffffff
hammer, #795f55
hemp_fabric, #fecafa
hemp_fiber, #ffffff
hoe_steel, #7a5a4a
ingot_aluminum, #e0e3e4
ingot_constantan, #d48a6b
ingot_electrum, #e0b251
ingot_hop_graphite, #333333
ingot_lead, #9a9da8
ingot_nickel, #c0c3bb
ingot_silver, #cfd4d7
ingot_steel, #f4f4f4
ingot_uranium, #69795f
jerrycan, #2900
light_bulb, #eadedd
logic_circuit, #bbb8a0
maintenance_kit, #e4d9bf
manual, #736558
metal_ladder_none, #c9c9c9
minecart_metalbarrel, #a4a8aa
minecart_reinforcedcrate, #756965
minecart_woodenbarrel, #6f5e57
minecart_woodencrate, #725f57
mold_bullet_casing, #d6d6d6
mold_gear, #6e6e6e
mold_packing_4, #cccccc
mold_packing_9, #cccccc
mold_plate, #c9c9c9
mold_rod, #d4d4d4
mold_unpacking, #cccccc
mold_wire, #d3d3d3
nugget_aluminum, #cad2d3
nugget_constantan, #b88270
nugget_copper, #ffd3c3
nugget_electrum, #b9946b
nugget_lead, #4b5162
nugget_netherite, #584d50
