// Compost colors for industrialforegoing. You may add your own colors, change existing ones, or remove colors that aren't needed.
black_laser_lens, #aaaab5
blue_laser_lens, #b5cfff
brown_laser_lens, #e0beab
conveyor_blinking_upgrade, #ffffff
conveyor_bouncing_upgrade, #ffffff
conveyor_detection_upgrade, #fff0f2
conveyor_dropping_upgrade, #ffffff
conveyor_extraction_upgrade, #fae7e7
conveyor_insertion_upgrade, #ffffff
conveyor_splitting_upgrade, #ffffff
cyan_laser_lens, #bef4ff
diamond_gear, #9bffff
dryrubber, #ffffff
efficiency_addon_tier_1, #ebf5ee
efficiency_addon_tier_2, #ccffff
fertilizer, #ffd9bc
gold_gear, #ffff9e
gray_laser_lens, #ededed
green_laser_lens, #d4edb5
hydroponic_simulation_processor, #d7ffff
iron_gear, #fcfcfc
light_blue_laser_lens, #fcffff
light_gray_laser_lens, #ffffff
lime_laser_lens, #e7ffac
machine_settings_copier, #ffffff
magenta_laser_lens, #ffddff
meat_feeder, #78706b
mob_imprisonment_tool, #ffffff
orange_laser_lens, #fff5b8
pink_laser_lens, #ffffff
pink_slime, #ffffff
pink_slime_ingot, #ffffff
plastic, #f2fbff
processing_addon_tier_1, #eaf4eb
processing_addon_tier_2, #c9feff
purple_laser_lens, #ffcaff
range_addon_tier_0, #faebdd
range_addon_tier_1, #f0edf7
range_addon_tier_10, #ffe7e3
range_addon_tier_11, #e7fed6
range_addon_tier_2, #fffff0
range_addon_tier_3, #fff7ea
range_addon_tier_4, #ffeec8
range_addon_tier_5, #fffed3
range_addon_tier_6, #fffff7
range_addon_tier_7, #ffffe0
range_addon_tier_8, #fffff1
range_addon_tier_9, #f1fffa
red_laser_lens, #ffc0be
speed_addon_tier_1, #eaf4ed
speed_addon_tier_2, #c9feff
straw, #ffffff
white_laser_lens, #bfbfbf
yellow_laser_lens, #ffffc2
