// Compost colors for mcwbiomesoplenty. You may add your own colors, change existing ones, or remove colors that aren't needed.
dead_bamboo_door, #afa79d
dead_bark_glass_door, #bec5bb
dead_barn_door, #afa79d
dead_barn_glass_door, #aba49a
dead_beach_door, #afa79d
dead_classic_door, #afa79d
dead_cottage_door, #afa79d
dead_four_panel_door, #afa79d
dead_glass_door, #aba097
dead_japanese2_door, #a7a097
dead_japanese_door, #a7a097
dead_modern_door, #afa79d
dead_mystic_door, #afa79d
dead_nether_door, #afa79d
dead_paper_door, #aca59b
dead_stable_door, #afa79d
dead_stable_head_door, #afa79d
dead_swamp_door, #afa79d
dead_tropical_door, #afa79d
dead_waffle_door, #afa79d
dead_western_door, #afa79d
dead_whispering_door, #afa79d
empyreal_bamboo_door, #a273af
empyreal_bark_glass_door, #fefffe
empyreal_barn_door, #a273af
empyreal_barn_glass_door, #a073ab
empyreal_beach_door, #a273af
empyreal_classic_door, #a273af
empyreal_cottage_door, #a273af
empyreal_four_panel_door, #a273af
empyreal_glass_door, #a073a7
empyreal_japanese2_door, #9b79a7
empyreal_japanese_door, #9d73a7
empyreal_modern_door, #a273af
empyreal_mystic_door, #a273af
empyreal_nether_door, #a273af
empyreal_paper_door, #a176ac
empyreal_stable_door, #a273af
empyreal_stable_head_door, #a273af
empyreal_swamp_door, #a273af
empyreal_tropical_door, #a273af
empyreal_waffle_door, #a273af
empyreal_western_door, #a273af
empyreal_whispering_door, #a273af
fir_bamboo_door, #d7c9a7
fir_bark_glass_door, #c3c5b5
fir_barn_door, #d7c9a7
fir_barn_glass_door, #d2c3a4
fir_beach_door, #d7c9a7
fir_classic_door, #d7c9a7
fir_cottage_door, #d7c9a7
fir_four_panel_door, #d7c9a7
fir_glass_door, #cdbea0
fir_japanese2_door, #c6bba0
fir_japanese_door, #c9bea0
fir_modern_door, #d7c9a7
fir_mystic_door, #d7c9a7
fir_nether_door, #d7c9a7
fir_paper_door, #ccc0a5
fir_stable_door, #d7c9a7
fir_stable_head_door, #d7c9a7
fir_swamp_door, #d7c9a7
fir_tropical_door, #d7c9a7
fir_waffle_door, #d7c9a7
fir_western_door, #d7c9a7
fir_whispering_door, #d7c9a7
hellbark_bamboo_door, #9b8d8d
hellbark_bark_glass_door, #dae1de
