// Compost colors for oneiricconcept. You may add your own colors, change existing ones, or remove colors that aren't needed.
a_propaganda_army, #a2b4bf
adeptus_gun, #b8bbf1
adeptustool, #6fc0a5
aizenmedaka, #e8ffff
ambergris_cheese_sliver, #ffffff
ambrosial_arbor_sapling, #fffe8d
anemo_metal, #6be4ae
anemo_sealingwax, #62ebb1
b_2elobog_sausage, #d0b6a1
bactus, #4058b9
banana_mushroom, #ffffcd
belobog_sausage, #ffb586
big_stone, #c0c0c0
boom_blossoms_cryo, #a1f0ff
boom_blossoms_dendro, #d3feb5
boom_blossoms_electro, #f5c3ff
boom_blossoms_hydro, #9adaff
boom_blossoms_pyro, #ffe7c6
boss_stone_coin_gun, #ffffff
boss_stone_coin_gun_plus, #fff0f7
c_cactus, #34c2bf
camo_paint, #a5bbcd
celebratory_xiao_lantern, #ffb932
chenyu_adeptea, #73a02a
chenyu_adeptea_seedling, #ed354
cloud_bottle, #ffffff
compress_totemloot, #ffffff
condensed_memoria_piece, #fff198
conqueror_s_will, #cfc8f2
crescent_metal, #435470
cryo_boomyam, #a1f0ff
cryo_metal, #7ffeff
cryosealingwax, #6ff0ff
cullinan, #ffffff
d_xuanyuan, #af8e9e
dark_xuanyuan_sword, #af8e9e
deep_marrow_rock_salt, #e6bebb
dendro_boomyam, #d3feb5
dendro_metal, #97fc61
dendrosealingwax, #8de855
divine_arrow_embers, #899172
dreamdive_can, #c2a8ed
dreamy_cone, #ffffde
dumpling, #ffffff
electro_boomyam, #f5c3ff
electro_metal, #ff91ff
electrosealingwax, #cf73ff
energy_drink, #daab98
energy_drink_primogem, #b9c0ff
energy_drink_sugar_free, #c0c5d3
example, #ffe686
fine_tea_full_moon, #c2d678
fish, #b48e7c
fishcake, #ffffff
fresh_seedof_dawn, #dde12f
fruitpastebait, #afa775
fullmoon_metal, #7a8eb6
gactus, #44cc3a
geo_metal, #ffda46
geosealingwax, #f2be33
glazemedaka, #fceeff
grilled_dumpling, #ffffc0
grilled_oy_dumpling, #ffde93
heartofthefish, #97d4e8
heartofthefrozensea, #edffff
heartoftheskysea, #acd2ea
heartofthevastsea, #94c2ee
heartofthewarmsea, #c584e8
hertabond, #fcf0d9
hiltwood_from_the_arbor, #c6ffff
honkai_shard, #ff8efe
honkai_sliver, #ffffff
hunger, #ffccac
hydro_boomyam, #9adaff
hydro_metal, #82e6ff
hydrosealingwax, #68b9ff
ice_fresh_raw_frostweave_salmon_slices, #ffd6d3
ignis_aureliae, #ffb970
legion_pseudo_core, #fffff5
legion_pseudo_sliver, #ffffff
mactus, #b840b2
medaka, #fffce7
memoria_loot, #ffffff
memoria_piece, #c8a2ff
memory_bubble, #eaffff
milk, #fffff4
mm_mushroom, #f79b9e
mmmhit, #ffffff
molten_metal, #848684
mora_bow, #ffe49a
mora_magazine, #ffffe6
mora_magazine_e_1, #ffff9e
mora_sausage, #fffe7a
nest, #ffffff
oneiric_shard, #ffffff
oy_dumpling, #ffffd4
oy_stuffing, #c53a32
pgc_present, #f4c2f1
phlogiston, #ffa04d
phlogiston_crystal, #ff9e5f
primogem, #feffff
primogem_waffle, #eafaff
primogemcraftwiki, #fff4ff
primogems_sausage, #f0ffff
punitive_energy, #b9abff
pyro_boomyam, #ffe7c6
pyro_metal, #ff9a82
pyrosealingwax, #fc6554
ractus, #b54346
rawcrescentmoonore, #7c838e
rawfullmoonore, #e7feff
rawredmoonore, #905757
red_bean_soup_filling_yuan_xiao, #fffffb
redmoon_metal, #302834
resurrection_pellet, #ac786b
s_2ausage, #aeaeae
s_2moke_sausage, #eaddda
s_2tuffing, #c55b6e
salt, #ffffff
salt_dust, #ffffff
sausage, #ffb4a0
skip_tool, #f0f4ff
sky_waffle, #5a5a5a
small_herta_core, #d4b8d6
smoke_sausage, #faa28e
solid_water, #f8ffff
stardust_baseballer, #deeaff
stuffing, #b87f3e
sun_start_can, #fffff7
superimposer_custommade, #d3ffff
surpriseboxforgoodorbad, #ebedff
sweet_sesame_filling_yuan_xiao, #fffffc
sweetflower, #ffff9e
sweetflowermedaka, #ffffb8
sword_of_brilliant_valor, #8a5c4d
taw_wood_box, #cdffff
taw_wood_loot, #ffffff
the_another_world_sapling, #e4eeff
the_boon_of_the_elder_tree, #c5cdc3
theanotherworldmooningot, #5e69af
thief_s_instinct, #ffffff
toast_toast_pizza, #ffffe1
toastpizza, #ffffe4
totemloot, #ffffff
trashmetal, #aba59e
tree_barkof_erudition, #c5a579
usurper_s_scheme, #ffffff
virtual_particle, #f8e4fc
waffle, #ffffc6
wayfare_cake_slices, #b5a77c
xuanyuan_arrow, #fff2da
xuanyuan_sword, #e79865
yactus, #d2bc26
