// Compost colors for youkaishomecoming. You may add your own colors, change existing ones, or remove colors that aren't needed.
affogato, #ffffff
americano, #ffffff
apaki, #e7c69a
assorted_dango, #fef5e8
avgolemono, #ffffff
bamboo_mizuyokan, #b89e84
big_popsicle, #82dcfb
black_tea, #bfc3d7
black_tea_leaves, #dddad4
blazing_red_curry, #ffeacf
bowl_of_cream, #fffff4
bowl_of_heart_throbbing_surprise, #ffe3ca
brown_fine_grid_framed_shoji, #b88e5c
bun, #fffffa
butter, #fffffb
candy_apple, #ffe4e0
cappuccino, #ffffff
chest_of_heart_throbbing_surprise, #ffb961
clay_saucer, #ffffff
coffee_beans, #c5b1a4
coffee_berries, #f0d6bc
coffee_mochi, #ffffff
coffee_powder, #ffe3d2
cold_tofu, #b6ae72
con_panna, #ffffff
copper_tank, #b85136
cornflower_tea, #e4e8f8
cumberland_loin, #ae8469
daiginjo, #fff8d9
dassai, #ffe8d4
dried_fish, #a7966e
espresso, #ffffff
fine_grid_framed_shoji, #d9bb94
full_moons_eve, #ffffed
genmai_tea, #ffffff
green_coffee_bean, #ffffff
green_tea, #eefff8
green_tea_leaves, #ebf2d7
green_water, #91c9c3
grilled_eel_over_rice, #fff2da
hakutsuru, #be9a66
higan_soup, #f8ffff
ice_cube, #e8ffff
imitation_bear_paw, #b8895b
kappa_village, #b29d72
kiku, #aa7f4e
kinako_dango, #ffdd9e
lamprey_bucket, #dce0e4
latte, #ffffff
lemon_black_tea, #dad4c3
light_yellow_fine_grid_framed_shoji, #dcbb8d
lions_head, #e6bfa5
longevity_noodles, #ffffe4
macchiato, #ffffff
mantou, #fffbd7
mapo_tofu, #ffffee
matcha, #eefac9
matcha_mochi, #ffffff
mead, #ffffff
milk_popsicle, #ffffff
mio, #c8e0ff
miso_soup, #fffff8
mitarashi_dango, #d28a51
mocha, #ffffff
mochi, #ffffff
moon_rocket, #ffffff
mushroom_soup, #fffff4
oily_bean_curd, #ffa56b
onigili, #ffffff
oolong_tea, #f5fff1
oolong_tea_leaves, #eef0d3
oyaki, #fffff5
pastitsio, #dd9a6f
peach_tapioca, #ffffff
peach_yatsuhashi, #ffffff
pods, #fcffd9
poor_god_soup, #fffce1
pork_rice_ball, #ffffe7
power_soup, #fffad9
raw_bun, #fffac0
raw_imitation_bear_paw, #d2a090
raw_lamprey, #fffae1
raw_lamprey_fillet, #fffff7
raw_oyaki, #fff7c3
raw_scholar_ginkgo, #e7dec2
redbean, #fac2b8
ristretto, #ffffff
roasted_lamprey, #d6a48e
roasted_lamprey_fillet, #f4d3be
roe, #ffffe6
saidi_tea, #e8d2ea
sake_bottle, #afeaff
sakura_honey_tea, #ffffff
sakura_mochi, #ffffff
sauce_grilled_fish, #b18758
saucer, #ffffff
scholar_ginkgo, #d0aa4b
seafood_miso_soup, #ffffe8
sekibankiyaki, #ffca7a
senbei, #ffffff
seven_colored_yokan, #edcdd0
shaved_ice_over_rice, #ffffff
shirayuki, #fffff0
soy_sauce_bottle, #9198ac
soybean, #fffff8
sparrow_sake, #ffffff
steamed_egg_in_bamboo, #ffffc8
stinky_tofu, #7f705a
suigei, #aea48c
sweet_ormosia_mochi_mixed_boiled, #fffffe
tarte_lune, #ffffed
tarte_lune_slice, #ffffff
tea_leaves, #e7f5d2
tea_mocha, #ffffff
tea_seeds, #ffffff
tengu_tango, #ffead2
tobiko_gunkan, #fffcee
tofu, #fffffe
tofu_burger, #dd7370
tomato_sauce_cod, #dcab8e
tsukimi_dango, #ffffff
tuscan_salmon, #fff0cf
tutu_congee, #ffffb2
udumbara_cake, #ffffff
udumbara_flower, #ffffff
udumbara_seeds, #ffffff
white_tea, #ffffff
white_tea_leaves, #ffffe0
wild_coffea, #a4b464
wild_redbean, #afbf44
wild_soybean, #ebb54b
wild_tea, #dafbc5
wild_udumbara, #eeffff
yakumo_inari, #ffa562
yashouma_dango, #ffffff
